91909	4	2	2	2	4	4	4	4	4	4	2	2	4	4	4	4	2	4	2	4	5	5	5	4	5	5	5	5	5	2	5	5	4	5	5	1	5	5	4	4	4	5	4	4	5	4	5	5	4	5	4	1	1	4	4	2	4	5	5	5	5	5	5	5	2
92098	2	3	1	4	4	3	2	4	4	3	4	3	2	2	3	3	4	3	3	3	2	2	3	2	3	2	3	2	3	2	3	2	3	2	2	3	2	3	3	4	3	2	3	2	2	3	1	3	2	2	3	4	3	4	3	3	4	2	3	3	2	3	2	2	3
92323	2	2	3	3	2	4	2	3	3	1	2	5	2	3	4	1	4	5	5	3	1	3	2	1	4	3	3	4	2	2	4	4	3	3	2	3	4	3	1	2	2	2	2	4	4	3	2	4	4	2	2	5	2	1	3	1	4	4	2	4	1	3	2	4	2
92727	4	4	3	2	2	2	2	2	3	3	3	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	2	3	3	3	3	3	2	3	4	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	4	4	4	2
93173	4	1	3	4	3	3	3	4	3	3	3	1	3	3	2	5	4	4	2	2	3	3	4	4	3	2	3	4	3	4	5	3	4	3	3	2	3	3	2	1	4	3	3	4	3	2	4	3	5	3	2	2	3	3	2	1	3	2	4	3	4	3	4	3	4
93692	4	4	4	2	2	2	2	2	2	2	4	4	4	4	2	2	2	2	2	2	3	4	4	4	4	4	4	4	4	5	4	4	4	4	4	2	4	4	3	2	4	3	4	4	3	2	4	4	4	4	2	2	2	2	2	2	2	4	4	3	4	4	4	4	4
94141	3	3	2	2	2	3	4	4	2	4	1	1	1	2	5	5	4	4	5	4	4	4	5	4	4	4	4	5	4	4	5	5	4	5	4	2	4	4	2	4	2	4	2	2	4	4	4	3	2	4	2	2	2	3	4	2	2	4	2	2	4	4	4	4	4
94278	4	5	3	3	2	3	2	2	3	1	3	4	3	4	2	1	3	4	1	3	3	2	2	3	4	3	2	4	3	4	5	5	3	2	4	1	3	5	3	2	3	4	3	5	3	2	3	4	3	2	2	1	2	3	2	3	2	3	4	4	4	3	3	4	5
95846	4	4	3	3	3	2	3	4	5	5	4	4	2	4	3	3	3	4	2	4	3	2	2	3	2	3	3	3	2	3	2	4	3	2	3	4	3	3	4	4	3	3	3	3	2	3	4	2	2	3	2	2	2	3	3	4	3	4	3	3	2	4	3	2	3
96298	3	5	5	2	4	5	5	5	5	5	3	3	4	2	4	4	5	3	2	3	5	3	1	3	5	4	5	5	4	5	4	4	4	4	5	3	5	4	5	3	4	3	3	2	1	3	4	2	2	3	4	5	5	5	5	5	5	5	4	5	5	4	4	4	5
96894	3	3	4	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	4	4	3	3	4	3	3	4	3	4	4	3	3	3	2	2	3	3	3	4	4	3	3	4	3	3	2	3	3	3	2	3	2	3	3	4	3	4	4	3	3
97169	4	3	3	4	4	2	4	5	5	5	4	4	4	1	3	3	2	2	3	5	3	4	4	4	4	4	4	4	4	4	5	4	4	4	4	2	3	4	4	4	2	4	4	4	4	2	4	4	2	4	2	5	3	4	3	4	2	3	3	4	4	4	4	3	4
97551	3	3	2	2	2	1	2	4	2	3	4	4	5	3	3	2	1	3	1	3	4	4	4	3	4	4	5	3	4	4	5	5	4	3	4	3	4	4	2	2	4	4	3	4	4	2	3	5	4	3	2	2	2	4	2	2	3	4	5	5	4	3	4	3	3
97740	3	4	4	5	5	5	5	5	5	5	5	5	5	5	4	4	4	1	3	4	4	4	4	5	4	5	5	5	5	5	5	5	5	5	5	1	5	4	4	5	4	5	5	5	4	5	5	4	5	4	2	5	4	5	4	2	4	4	5	5	5	5	4	4	4
98255	1	5	5	1	1	1	5	5	5	5	1	1	1	1	5	5	1	1	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	5	5	5	5	3	1	5	5	5	5	5	5	5	5	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5
98284	4	4	5	2	3	1	2	2	1	1	4	4	4	4	2	3	2	2	2	2	4	4	4	3	4	5	4	5	4	4	4	4	4	4	4	2	4	4	3	3	4	4	4	4	4	2	4	4	4	5	2	1	1	1	2	2	2	5	4	4	4	4	4	5	4
98324	4	2	2	4	3	2	3	4	2	3	2	2	4	2	2	2	2	2	2	2	4	4	4	5	5	5	5	5	5	5	3	4	4	3	4	3	4	5	4	3	4	5	5	5	5	5	5	5	4	5	5	5	5	5	4	3	4	5	5	5	5	5	5	5	5
98830	4	3	4	2	3	2	3	2	3	2	4	3	4	4	1	3	3	2	2	2	3	3	3	3	3	4	4	4	4	3	4	4	3	3	3	3	4	3	3	2	4	3	4	3	3	3	4	2	3	3	3	3	4	3	3	3	3	3	3	3	3	3	4	2	3
99199	2	2	3	3	4	2	5	5	5	5	4	4	4	3	3	2	3	4	3	3	4	4	4	4	3	4	4	4	4	4	3	4	4	4	4	3	4	4	5	5	5	5	5	4	4	5	5	5	3	4	4	5	5	5	5	5	2	5	5	5	5	5	5	4	4
99607	4	3	4	2	5	3	3	5	4	4	5	5	3	4	5	5	3	5	5	4	5	3	5	5	4	5	5	5	5	4	5	5	5	5	5	3	5	5	5	3	3	4	3	5	5	5	3	5	4	5	5	5	3	5	2	5	3	5	4	5	5	5	5	5	5
99974	5	1	1	1	2	1	4	5	1	4	1	2	5	4	5	2	3	5	2	5	5	5	4	5	4	5	4	5	5	1	5	5	5	5	5	1	5	5	1	5	3	5	5	5	5	5	5	4	5	5	1	1	2	1	2	1	2	5	2	5	5	5	5	5	3
